"ID","annotation_id","annotator","created_at","id","lead_time","orig_ID","sent_label","sentence","sentence_id","span_labels","updated_at"
"57c68807196a0ba6_1",1,"1","2026-08-03T14:23:10.432342Z",1,15.852,"57c68807196a0ba6","EP","I was walking through the aisles of a well-lit supermarket, the hum of conversation and the soft clinking of shopping carts filling the air.",1,"[{""start"":60,""end"":139,""text"":""the hum of conversation and the soft clinking of shopping carts filling the air"",""labels"":[""EP""]}]","2026-08-03T14:23:30.787262Z"
"57c68807196a0ba6_2",126,"1","2026-08-03T14:45:15.220421Z",2,18.246000000000002,"57c68807196a0ba6","EP","I was searching for organic almonds and whole wheat bread, holding a list in one hand and a basket in the other.",2,"[{""start"":59,""end"":111,""text"":""holding a list in one hand and a basket in the other"",""labels"":[""EP""]}]","2026-08-03T14:45:15.220442Z"
"57c68807196a0ba6_3",2,"1","2026-08-03T14:24:14.744990Z",3,22.581,"57c68807196a0ba6","EP","The scent of fresh produce and baked goods lingered in the air, and I paused at the dairy section, eyeing the expiration dates on the milk cartons.",3,"[{""start"":68,""end"":97,""text"":""I paused at the dairy section"",""labels"":[""EP""]},{""start"":99,""end"":146,""text"":""eyeing the expiration dates on the milk cartons"",""labels"":[""EP""]}]","2026-08-03T14:24:14.745007Z"
"57c68807196a0ba6_4",3,"1","2026-08-03T14:24:26.599281Z",4,11.513,"57c68807196a0ba6","EP","I grabbed a carton of almond milk and a block of cheddar cheese, then moved to the snack aisle, where I picked up a bag of dark chocolate.",4,"[{""start"":96,""end"":137,""text"":""where I picked up a bag of dark chocolate"",""labels"":[""EP""]},{""start"":65,""end"":94,""text"":""then moved to the snack aisle"",""labels"":[""EP""]}]","2026-08-03T14:24:26.599299Z"
"57c68807196a0ba6_5",4,"1","2026-08-03T14:24:42.727506Z",5,15.813,"57c68807196a0ba6","EP","As I approached the checkout, I noticed a line forming, so I stepped aside to wait, glancing at the store map on the wall to plan my next trip.",5,"[{""start"":0,""end"":28,""text"":""As I approached the checkout"",""labels"":[""EP""]},{""start"":56,""end"":82,""text"":""so I stepped aside to wait"",""labels"":[""EP""]},{""start"":84,""end"":142,""text"":""glancing at the store map on the wall to plan my next trip"",""labels"":[""EP""]}]","2026-08-03T14:24:42.727524Z"
"57c68807196a0ba6_6",5,"1","2026-08-03T14:24:46.285079Z",6,3.207,"57c68807196a0ba6","NONEP","The scene was familiar, routine, and comforting.",6,"","2026-08-03T14:24:46.285098Z"
"8e90cd54731ed49f_1",6,"1","2026-08-03T14:24:54.359329Z",7,7.771,"8e90cd54731ed49f","EP","I was walking through the supermarket, pushing my cart slowly down the aisle of canned goods.",1,"[{""start"":39,""end"":92,""text"":""pushing my cart slowly down the aisle of canned goods"",""labels"":[""EP""]}]","2026-08-03T14:24:54.359348Z"
"8e90cd54731ed49f_2",7,"1","2026-08-03T14:25:04.961691Z",8,10.199,"8e90cd54731ed49f","EP","The fluorescent lights buzzed softly above, and the hum of conversation and the clinking of shopping baskets filled the air.",2,"[{""start"":44,""end"":123,""text"":""and the hum of conversation and the clinking of shopping baskets filled the air"",""labels"":[""EP""]}]","2026-08-03T14:25:04.961710Z"
"8e90cd54731ed49f_3",8,"1","2026-08-03T14:25:11.915404Z",9,6.644,"8e90cd54731ed49f","EP","I stopped at the cereal section, running my fingers over the boxes of cornflakes and oat rings.",3,"[{""start"":33,""end"":94,""text"":""running my fingers over the boxes of cornflakes and oat rings"",""labels"":[""EP""]}]","2026-08-03T14:25:11.915426Z"
"8e90cd54731ed49f_4",9,"1","2026-08-03T14:25:21.520140Z",10,9.292,"8e90cd54731ed49f","EP","A mother and her toddler passed me, the child giggling as they reached for a colorful toy in the display.",4,"[{""start"":36,""end"":104,""text"":""the child giggling as they reached for a colorful toy in the display"",""labels"":[""EP""]}]","2026-08-03T14:25:21.520158Z"
"8e90cd54731ed49f_5",10,"1","2026-08-03T14:25:27.505301Z",11,5.67,"8e90cd54731ed49f","EP","I grabbed a bag of rice cakes and moved on, checking the expiration dates on the packages.",5,"[{""start"":44,""end"":90,""text"":""checking the expiration dates on the packages."",""labels"":[""EP""]}]","2026-08-03T14:25:27.505320Z"
"8e90cd54731ed49f_6",11,"1","2026-08-03T14:25:35.103637Z",12,7.295,"8e90cd54731ed49f","EP","At the checkout, I waited in line, watching the cashier scan items and the customer behind me argue with the register about a price discrepancy.",6,"[{""start"":35,""end"":143,""text"":""watching the cashier scan items and the customer behind me argue with the register about a price discrepancy"",""labels"":[""EP""]}]","2026-08-03T14:25:35.103655Z"
"8e90cd54731ed49f_7",12,"1","2026-08-03T14:25:53.181979Z",13,17.767,"8e90cd54731ed49f","EP","I paid and left, the bag of rice cakes in my cart, feeling the cool air of the parking lot as I stepped outside.",7,"[{""start"":52,""end"":90,""text"":""eeling the cool air of the parking lot"",""labels"":[""EP""]},{""start"":91,""end"":111,""text"":""as I stepped outside"",""labels"":[""EP""]}]","2026-08-03T14:25:53.182003Z"
"df5223633d97dd19_1",13,"1","2026-08-03T14:26:14.875796Z",14,21.351,"df5223633d97dd19","EP","I was browsing the grocery aisle of a bustling supermarket, the fluorescent lights casting a bright, even glow over the neatly arranged shelves.",1,"[{""start"":60,""end"":99,""text"":""the fluorescent lights casting a bright"",""labels"":[""EP""]}]","2026-08-03T14:26:14.875816Z"
"df5223633d97dd19_2",14,"1","2026-08-03T14:26:18.987703Z",15,3.797,"df5223633d97dd19","EP","The hum of conversation and the soft clinking of shopping carts filled the air.",2,"","2026-08-03T14:26:18.987720Z"
"df5223633d97dd19_3",15,"1","2026-08-03T14:26:26.919119Z",16,7.636,"df5223633d97dd19","EP","I grabbed a cart and made my way to the produce section, where the scent of ripe fruits and fresh vegetables lingered.",3,"[{""start"":57,""end"":118,""text"":""where the scent of ripe fruits and fresh vegetables lingered."",""labels"":[""EP""]}]","2026-08-03T14:26:26.919136Z"
"df5223633d97dd19_4",16,"1","2026-08-03T14:26:31.532647Z",17,4.313,"df5223633d97dd19","EP","I picked up a few apples and a bundle of bananas, checking the labels for freshness.",4,"[{""start"":50,""end"":83,""text"":""checking the labels for freshness"",""labels"":[""EP""]}]","2026-08-03T14:26:31.532665Z"
"df5223633d97dd19_5",17,"1","2026-08-03T14:26:43.209997Z",18,11.376,"df5223633d97dd19","EP","As I moved to the dairy section, I paused at the cheese counter, running my fingers over a wedge of cheddar.",5,"[{""start"":0,""end"":31,""text"":""As I moved to the dairy section"",""labels"":[""EP""]},{""start"":64,""end"":107,""text"":"" running my fingers over a wedge of cheddar"",""labels"":[""EP""]}]","2026-08-03T14:26:43.210015Z"
"df5223633d97dd19_6",18,"1","2026-08-03T14:26:52.958826Z",19,9.384,"df5223633d97dd19","EP","I grabbed a loaf of bread and a carton of milk, then headed to the checkout, where a cashier greeted me with a smile.",6,"[{""start"":47,""end"":75,""text"":"" then headed to the checkout"",""labels"":[""EP""]},{""start"":77,""end"":117,""text"":""where a cashier greeted me with a smile."",""labels"":[""EP""]}]","2026-08-03T14:26:52.958844Z"
"df5223633d97dd19_7",19,"1","2026-08-03T14:27:01.803910Z",20,8.543,"df5223633d97dd19","EP","I paid and gathered my items, making my way out with a bag of groceries in hand, ready for the evening meal.",7,"[{""start"":29,""end"":79,""text"":"" making my way out with a bag of groceries in hand"",""labels"":[""EP""]}]","2026-08-03T14:27:01.803928Z"
"5755bdb2b3cdd47c_1",20,"1","2026-08-03T14:27:08.216345Z",21,6.101,"5755bdb2b3cdd47c","EP","I was walking through the crowded supermarket, the hum of conversation and the clatter of shopping carts filling the air.",1,"[{""start"":104,""end"":121,""text"":"" filling the air."",""labels"":[""EP""]}]","2026-08-03T14:27:08.216364Z"
"5755bdb2b3cdd47c_2",21,"1","2026-08-03T14:27:13.885047Z",22,5.369,"5755bdb2b3cdd47c","EP","The scent of fresh produce and baked goods wafted from the aisles, mingling with the faint smell of cleaning products.",2,"[{""start"":67,""end"":118,""text"":""mingling with the faint smell of cleaning products."",""labels"":[""EP""]}]","2026-08-03T14:27:13.885065Z"
"5755bdb2b3cdd47c_3",22,"1","2026-08-03T14:27:18.495023Z",23,4.318,"5755bdb2b3cdd47c","EP","I grabbed my cart and headed to the grocery section, scanning the shelves for the ingredients on my list.",3,"[{""start"":53,""end"":104,""text"":""scanning the shelves for the ingredients on my list"",""labels"":[""EP""]}]","2026-08-03T14:27:18.495059Z"
"5755bdb2b3cdd47c_4",23,"1","2026-08-03T14:27:23.554279Z",24,4.754,"5755bdb2b3cdd47c","EP","I picked up a loaf of bread, a bag of apples, and a carton of milk, placing them in the cart with careful precision.",4,"[{""start"":68,""end"":116,""text"":""placing them in the cart with careful precision."",""labels"":[""EP""]}]","2026-08-03T14:27:23.554296Z"
"5755bdb2b3cdd47c_5",24,"1","2026-08-03T14:27:31.102011Z",25,7.252,"5755bdb2b3cdd47c","EP","As I moved through the store, I passed a display of colorful candies and a section where a man was trying on sunglasses.",5,"[{""start"":0,""end"":28,""text"":""As I moved through the store"",""labels"":[""EP""]},{""start"":83,""end"":120,""text"":""where a man was trying on sunglasses."",""labels"":[""EP""]}]","2026-08-03T14:27:31.102028Z"
"5755bdb2b3cdd47c_6",25,"1","2026-08-03T14:27:55.136071Z",26,23.726,"5755bdb2b3cdd47c","EP","I made my way to the checkout, where a cashier greeted me with a smile, and I paid for my items before heading out the door, the bag of groceries in hand.",6,"[{""start"":47,""end"":70,""text"":""greeted me with a smile"",""labels"":[""EP""]},{""start"":76,""end"":95,""text"":""I paid for my items"",""labels"":[""EP""]},{""start"":96,""end"":125,""text"":""before heading out the door, "",""labels"":[""EP""]},{""start"":125,""end"":153,""text"":""the bag of groceries in hand"",""labels"":[""NONEP""]}]","2026-08-03T14:27:55.136090Z"
"bda87857c27cf1a6_1",26,"1","2026-08-03T14:28:05.466642Z",27,9.972,"bda87857c27cf1a6","EP","I was walking through the supermarket, pushing a shopping cart slowly down the aisle.",1,"[{""start"":39,""end"":85,""text"":""pushing a shopping cart slowly down the aisle."",""labels"":[""EP""]}]","2026-08-03T14:28:05.466661Z"
"bda87857c27cf1a6_2",27,"1","2026-08-03T14:28:14.537571Z",28,8.724,"bda87857c27cf1a6","EP","The fluorescent lights buzzed softly above, casting a bright white glow over the neatly arranged shelves.",2,"[{""start"":44,""end"":105,""text"":""casting a bright white glow over the neatly arranged shelves."",""labels"":[""EP""]}]","2026-08-03T14:28:14.537588Z"
"bda87857c27cf1a6_3",28,"1","2026-08-03T14:28:18.830845Z",29,3.925,"bda87857c27cf1a6","EP","I stopped at the cereal section, grabbing a box of oats and placing it in the cart.",3,"[{""start"":33,""end"":83,""text"":""grabbing a box of oats and placing it in the cart."",""labels"":[""EP""]}]","2026-08-03T14:28:18.830864Z"
