ID,orig_ID,sentence_id,sentence
b68377eaceb6dd0e_1,b68377eaceb6dd0e,1,"I’m in a bustling supermarket, the fluorescent lights buzzing softly overhead."
b68377eaceb6dd0e_2,b68377eaceb6dd0e,2,"The air is filled with the mingling scents of fresh produce, baked goods, and cleaning products."
b68377eaceb6dd0e_3,b68377eaceb6dd0e,3,"Shoppers move purposefully through the aisles, some pushing carts, others holding grocery bags."
b68377eaceb6dd0e_4,b68377eaceb6dd0e,4,"I’m scanning the cereal aisle, trying to decide between a new oat-based option and my usual brand."
b68377eaceb6dd0e_5,b68377eaceb6dd0e,5,"A child tugs at their parent’s sleeve, pointing at a colorful toy display."
b68377eaceb6dd0e_6,b68377eaceb6dd0e,6,"Nearby, a cashier rings up a customer’s groceries, bagging items with practiced efficiency."
b68377eaceb6dd0e_7,b68377eaceb6dd0e,7,"I grab a carton of milk and a loaf of bread, then head to the checkout, where a line of people waits patiently."
b68377eaceb6dd0e_8,b68377eaceb6dd0e,8,The hum of conversation and the occasional beep of the scanner create a steady rhythm.
b68377eaceb6dd0e_9,b68377eaceb6dd0e,9,"I pay, take my bag, and step outside into the cool afternoon air, the bag of groceries in hand."
b45c50cd638f3f88_1,b45c50cd638f3f88,1,"I’m in a bustling supermarket, the hum of conversation and the clatter of shopping carts filling the air."
b45c50cd638f3f88_2,b45c50cd638f3f88,2,"The fluorescent lights cast a bright glow over the aisles, where shelves are neatly stocked with everything from canned goods to fresh produce."
b45c50cd638f3f88_3,b45c50cd638f3f88,3,"I’m holding a basket, browsing the dairy section, when I notice a line forming at the deli counter."
b45c50cd638f3f88_4,b45c50cd638f3f88,4,"I grab a carton of milk and a loaf of bread, then head to the checkout."
b45c50cd638f3f88_5,b45c50cd638f3f88,5,"The cashier is efficient, scanning items quickly while I try to remember if I picked up everything on my list."
b45c50cd638f3f88_6,b45c50cd638f3f88,6,"A mother and her toddler pass by, the child reaching for a colorful cereal box."
b45c50cd638f3f88_7,b45c50cd638f3f88,7,"I smile to myself, thinking about the usual rhythm of the store, the familiar sights and sounds that make it feel like home."
a7748adde1db7e07_1,a7748adde1db7e07,1,"I was in a bustling supermarket on a weekday afternoon, the fluorescent lights buzzing softly overhead."
a7748adde1db7e07_2,a7748adde1db7e07,2,"The aisles were packed with shoppers browsing shelves, some pushing carts filled with groceries, others scanning barcodes with handheld devices."
a7748adde1db7e07_3,a7748adde1db7e07,3,"The scent of fresh produce and baked goods filled the air, mingling with the faint hum of conversation."
a7748adde1db7e07_4,a7748adde1db7e07,4,"I moved through the cereal aisle, picking up a box of oats, then stopped at the dairy section to grab milk."
a7748adde1db7e07_5,a7748adde1db7e07,5,"A young mother with a toddler in a stroller passed me, the child reaching for a colorful toy on the floor."
a7748adde1db7e07_6,a7748adde1db7e07,6,"I grabbed a loaf of bread from the bakery display, its golden crust still warm."
a7748adde1db7e07_7,a7748adde1db7e07,7,"As I approached the checkout, I noticed a line forming, and I stepped back to wait, glancing at the advertisements on the walls."
a7748adde1db7e07_8,a7748adde1db7e07,8,"The scene was familiar, yet always slightly different, a routine that felt both comforting and ever-changing."
4a61492dd69bf489_1,4a61492dd69bf489,1,"I was in a quiet section of the supermarket, browsing the canned goods aisle."
4a61492dd69bf489_2,4a61492dd69bf489,2,"The fluorescent lights hummed softly, and the faint sound of a radio played in the background."
4a61492dd69bf489_3,4a61492dd69bf489,3,"I grabbed a can of soup and placed it in my cart, then moved to the snack aisle, where the smell of pretzels and chips lingered in the air."
4a61492dd69bf489_4,4a61492dd69bf489,4,"I picked up a bag of almonds and a chocolate bar, checking the expiration dates as I went."
