task,metric,metric_label,scope,random_mean,original_mean,random_minus_original,p_random_vs_original,q_random_vs_original,ad_guided_mean,random_minus_ad_guided,p_random_vs_ad,q_random_vs_ad,interpretation
Verbal fluency,Animal,Animal fluency,10000,14.92,14.8,0.11999999999999922,0.6379322260260682,0.6379322260260682,14.08,0.8399999999999999,0.10245485872102089,0.13660647829469452,No FDR-significant random-control evidence
Verbal fluency,Animal,Animal fluency,AllSig,10.0,14.8,-4.800000000000001,5.094682118248619e-14,1.0189364236497238e-13,0.0,10.0,3.54586432917997e-51,1.418345731671988e-50,Random perturbation occurs but differs from AD-guided editing
Verbal fluency,Letter,Letter fluency,10000,10.4,11.28,-0.879999999999999,0.3920343198753513,0.3920343198753513,9.24,1.1600000000000001,0.21092604836636442,0.2812347311551526,No FDR-significant random-control evidence
Verbal fluency,Letter,Letter fluency,AllSig,6.88,11.28,-4.3999999999999995,2.3289350749510298e-05,4.6578701499020595e-05,0.0,6.88,5.2231197677178155e-20,2.0892479070871262e-19,Random perturbation occurs but differs from AD-guided editing
Coreference resolution,Coref_score,Total score,10000,3.76,3.3,0.45999999999999996,0.0371884690278088,0.0371884690278088,1.0,2.76,1.742977133231924e-64,6.971908532927696e-64,Random perturbation occurs but differs from AD-guided editing
Coreference resolution,Coref_score,Total score,AllSig,2.08,3.3,-1.2199999999999998,0.00020624455449916925,0.00027499273933222565,-2.48,4.5600000000000005,3.7801048638702225e-09,7.560209727740445e-09,Random perturbation occurs but differs from AD-guided editing
Procedural discourse,procedure_key_steps_score,Key procedural steps,10000,6.0,6.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,No FDR-significant random-control evidence
Procedural discourse,procedure_key_steps_score,Key procedural steps,AllSig,5.92,6.0,-0.08000000000000007,0.14036866077167004,0.2807373215433401,2.64,3.28,4.598353112467682e-08,1.8393412449870728e-07,Selection-specific evidence
Working memory,dg_backward,DG backward,10000,1.0,1.0,0.0,1.0,1.0,0.44,0.56,1.693004726116544e-08,3.386009452233088e-08,Selection-specific evidence
Working memory,dg_backward,DG backward,AllSig,0.96,1.0,-0.040000000000000036,0.30743416592739536,0.40991222123652715,0.08,0.88,9.070984467174452e-42,3.6283937868697806e-41,Selection-specific evidence
Working memory,dg_forward,DG forward,10000,1.0,1.0,0.0,0.9999999896310239,0.9999999896310239,1.0,0.0,0.999999977955409,0.9999999896310239,No FDR-significant random-control evidence
Working memory,dg_forward,DG forward,AllSig,1.0,1.0,0.0,0.9999999838809016,0.9999999896310239,0.36,0.64,2.6167849372106934e-11,1.0467139748842774e-10,Selection-specific evidence
Working memory,dglt_backward,DGLT backward,10000,0.96,1.0,-0.040000000000000036,0.3074341659273937,0.3074341659273937,0.0,0.96,1.674167984692074e-132,6.696671938768297e-132,Selection-specific evidence
