"ID","annotation_id","annotator","created_at","id","lead_time","orig_ID","sent_label","sentence","sentence_id","span_labels","updated_at"
"b68377eaceb6dd0e_1",1,"1","2026-02-25T16:54:43.867311Z",1,796.068,"b68377eaceb6dd0e","NONEP","I’m in a bustling supermarket, the fluorescent lights buzzing softly overhead.",1,"[{""start"":31,""end"":77,""text"":""the fluorescent lights buzzing softly overhead"",""labels"":[""EP""]}]","2026-02-25T16:54:43.867319Z"
"b68377eaceb6dd0e_2",2,"1","2026-02-25T16:56:36.882622Z",2,112.798,"b68377eaceb6dd0e","EP","The air is filled with the mingling scents of fresh produce, baked goods, and cleaning products.",2,"","2026-02-25T16:56:36.882635Z"
"b68377eaceb6dd0e_3",3,"1","2026-02-25T16:58:12.639732Z",3,95.6,"b68377eaceb6dd0e","EP","Shoppers move purposefully through the aisles, some pushing carts, others holding grocery bags.",3,"[{""start"":47,""end"":65,""text"":""some pushing carts"",""labels"":[""EP""]},{""start"":67,""end"":95,""text"":""others holding grocery bags."",""labels"":[""EP""]}]","2026-02-25T16:58:12.639750Z"
"b68377eaceb6dd0e_4",4,"1","2026-02-25T17:00:39.453978Z",4,80.899,"b68377eaceb6dd0e","EP","I’m scanning the cereal aisle, trying to decide between a new oat-based option and my usual brand.",4,"[{""start"":31,""end"":97,""text"":""trying to decide between a new oat-based option and my usual brand"",""labels"":[""EP""]},{""start"":38,""end"":97,""text"":""to decide between a new oat-based option and my usual brand"",""labels"":[""EP""]}]","2026-02-25T17:00:39.453990Z"
"b68377eaceb6dd0e_5",5,"1","2026-02-25T17:01:03.448235Z",5,23.842,"b68377eaceb6dd0e","EP","A child tugs at their parent’s sleeve, pointing at a colorful toy display.",5,"[{""start"":38,""end"":74,""text"":"" pointing at a colorful toy display."",""labels"":[""EP""]}]","2026-02-25T17:01:03.448251Z"
"b68377eaceb6dd0e_6",6,"1","2026-02-25T17:02:41.185895Z",6,97.587,"b68377eaceb6dd0e","EP","Nearby, a cashier rings up a customer’s groceries, bagging items with practiced efficiency.",6,"[{""start"":51,""end"":90,""text"":""bagging items with practiced efficiency"",""labels"":[""EP""]}]","2026-02-25T17:02:41.185912Z"
"b68377eaceb6dd0e_7",7,"1","2026-02-25T17:03:59.191096Z",7,77.845,"b68377eaceb6dd0e","EP","I grab a carton of milk and a loaf of bread, then head to the checkout, where a line of people waits patiently.",7,"[{""start"":72,""end"":110,""text"":""where a line of people waits patiently"",""labels"":[""EP""]},{""start"":50,""end"":70,""text"":""head to the checkout"",""labels"":[""EP""]}]","2026-02-25T17:03:59.191118Z"
"b68377eaceb6dd0e_8",8,"1","2026-02-25T17:06:16.419783Z",8,137.066,"b68377eaceb6dd0e","EP","The hum of conversation and the occasional beep of the scanner create a steady rhythm.",8,"","2026-02-25T17:06:16.419800Z"
"b68377eaceb6dd0e_9",9,"1","2026-02-25T17:06:49.057075Z",9,32.491,"b68377eaceb6dd0e","EP","I pay, take my bag, and step outside into the cool afternoon air, the bag of groceries in hand.",9,"","2026-02-25T17:06:49.057087Z"
"b45c50cd638f3f88_1",10,"1","2026-02-25T17:07:26.446751Z",10,37.25,"b45c50cd638f3f88","NONEP","I’m in a bustling supermarket, the hum of conversation and the clatter of shopping carts filling the air.",1,"[{""start"":31,""end"":103,""text"":""the hum of conversation and the clatter of shopping carts filling the ai"",""labels"":[""EP""]}]","2026-02-25T17:07:26.446768Z"
"b45c50cd638f3f88_2",11,"1","2026-02-25T17:08:34.369340Z",11,67.77,"b45c50cd638f3f88","EP","The fluorescent lights cast a bright glow over the aisles, where shelves are neatly stocked with everything from canned goods to fresh produce.",2,"[{""start"":59,""end"":142,""text"":""where shelves are neatly stocked with everything from canned goods to fresh produce"",""labels"":[""EP""]}]","2026-02-25T17:08:34.369359Z"
"b45c50cd638f3f88_3",12,"1","2026-02-25T17:09:36.482238Z",12,61.965,"b45c50cd638f3f88","EP","I’m holding a basket, browsing the dairy section, when I notice a line forming at the deli counter.",3,"[{""start"":22,""end"":48,""text"":""browsing the dairy section"",""labels"":[""EP""]},{""start"":50,""end"":99,""text"":""when I notice a line forming at the deli counter."",""labels"":[""EP""]}]","2026-02-25T17:09:36.482259Z"
"b45c50cd638f3f88_4",13,"1","2026-02-25T17:10:36.140240Z",13,59.506,"b45c50cd638f3f88","EP","I grab a carton of milk and a loaf of bread, then head to the checkout.",4,"","2026-02-25T17:10:36.140258Z"
