ID,annotation_id,annotator,created_at,id,lead_time,orig_ID,sent_label,sentence,sentence_id,span_labels,updated_at
b68377eaceb6dd0e_1,8,1,2026-03-07T16:19:11.057677Z,25,20.993,b68377eaceb6dd0e,EP,"I’m in a bustling supermarket, the fluorescent lights buzzing softly overhead.",1,"[{""start"":31,""end"":78,""text"":""the fluorescent lights buzzing softly overhead."",""labels"":[""EP""]}]",2026-03-07T16:24:38.264946Z
b68377eaceb6dd0e_2,9,1,2026-03-07T16:21:28.236069Z,26,211.562,b68377eaceb6dd0e,EP,"The air is filled with the mingling scents of fresh produce, baked goods, and cleaning products.",2,,2026-03-07T16:25:56.275633Z
b68377eaceb6dd0e_3,10,1,2026-03-07T16:28:27.961033Z,27,143.188,b68377eaceb6dd0e,EP,"Shoppers move purposefully through the aisles, some pushing carts, others holding grocery bags.",3,"[{""start"":46,""end"":65,""text"":"" some pushing carts"",""labels"":[""EP""]},{""start"":66,""end"":94,""text"":"" others holding grocery bags"",""labels"":[""EP""]}]",2026-03-07T16:28:27.961062Z
b68377eaceb6dd0e_4,11,1,2026-03-07T16:29:24.345030Z,28,44.087,b68377eaceb6dd0e,EP,"I’m scanning the cereal aisle, trying to decide between a new oat-based option and my usual brand.",4,"[{""start"":31,""end"":97,""text"":""trying to decide between a new oat-based option and my usual brand"",""labels"":[""EP""]}]",2026-03-07T16:29:24.345043Z
b68377eaceb6dd0e_5,12,1,2026-03-07T16:29:56.377962Z,29,31.832,b68377eaceb6dd0e,EP,"A child tugs at their parent’s sleeve, pointing at a colorful toy display.",5,"[{""start"":38,""end"":74,""text"":"" pointing at a colorful toy display."",""labels"":[""EP""]}]",2026-03-07T16:29:56.377985Z
b68377eaceb6dd0e_6,13,1,2026-03-07T16:30:25.212990Z,30,28.601,b68377eaceb6dd0e,EP,"Nearby, a cashier rings up a customer’s groceries, bagging items with practiced efficiency.",6,"[{""start"":51,""end"":90,""text"":""bagging items with practiced efficiency"",""labels"":[""EP""]}]",2026-03-07T16:30:25.213005Z
b68377eaceb6dd0e_7,14,1,2026-03-07T16:31:00.891462Z,31,35.483,b68377eaceb6dd0e,EP,"I grab a carton of milk and a loaf of bread, then head to the checkout, where a line of people waits patiently.",7,"[{""start"":45,""end"":70,""text"":""then head to the checkout"",""labels"":[""EP""]},{""start"":72,""end"":110,""text"":""where a line of people waits patiently"",""labels"":[""EP""]}]",2026-03-07T16:31:00.891481Z
b68377eaceb6dd0e_8,15,1,2026-03-07T16:31:11.268106Z,32,10.147,b68377eaceb6dd0e,EP,The hum of conversation and the occasional beep of the scanner create a steady rhythm.,8,,2026-03-07T16:31:11.268121Z
b68377eaceb6dd0e_9,16,1,2026-03-07T16:36:34.706028Z,33,323.248,b68377eaceb6dd0e,EP,"I pay, take my bag, and step outside into the cool afternoon air, the bag of groceries in hand.",9,"[{""start"":65,""end"":95,""text"":"" the bag of groceries in hand."",""labels"":[""NONEP""]}]",2026-03-07T16:36:34.706040Z
b45c50cd638f3f88_1,17,1,2026-03-07T16:37:50.370097Z,34,75.464,b45c50cd638f3f88,EP,"I’m in a bustling supermarket, the hum of conversation and the clatter of shopping carts filling the air.",1,"[{""start"":30,""end"":104,""text"":"" the hum of conversation and the clatter of shopping carts filling the air"",""labels"":[""EP""]}]",2026-03-07T16:37:50.370114Z
